text,type,has_conditional,text_length,word_count,has_if,has_then,has_and,has_or,has_not,has_because,has_when
"If the test is hard, then The student will work more.",simple_conditional,True,53,11,True,True,False,True,False,False,False
"If it is sunny, then we stay inside.",simple_conditional,True,36,8,True,True,False,False,False,False,False
"If the test is hard, then He will play more.",simple_conditional,True,44,10,True,True,False,True,False,False,False
"If The student reads the book, then everyone is happy.",simple_conditional,True,54,10,True,True,False,False,False,False,False
"If it rains, then the game continues.",simple_conditional,True,37,7,True,True,False,False,False,False,False
"If He works a song, then everyone is happy.",simple_conditional,True,43,9,True,True,False,True,False,False,False
"If He sings deeply, then everyone is happy.",simple_conditional,True,43,8,True,True,False,False,False,False,False
"If the test is hard, then Mary will run more.",simple_conditional,True,45,10,True,True,False,True,False,False,False
"If The student works the book, then everyone is happy.",simple_conditional,True,54,10,True,True,False,True,False,False,False
"If She writes quickly, then everyone is happy.",simple_conditional,True,46,8,True,True,False,False,False,False,False
"If it is cloudy, then the picnic is canceled.",simple_conditional,True,45,9,True,True,False,False,False,False,False
"If Mary sings carefully, then everyone is happy.",simple_conditional,True,48,8,True,True,False,False,False,False,False
"If the test is hard, then They will play more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If the test is hard, then The cat will play more.",simple_conditional,True,49,11,True,True,False,True,False,False,False
"If it rains, then we go to the beach.",simple_conditional,True,37,9,True,True,False,False,False,False,False
"If the test is hard, then The cat will sing more.",simple_conditional,True,49,11,True,True,False,True,False,False,False
"If the test is hard, then They will read more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If He works deeply, then everyone is happy.",simple_conditional,True,43,8,True,True,False,True,False,False,False
"If She works quickly, then everyone is happy.",simple_conditional,True,45,8,True,True,False,True,False,False,False
"If the test is hard, then He will play more.",simple_conditional,True,44,10,True,True,False,True,False,False,False
"If She sings quickly, then everyone is happy.",simple_conditional,True,45,8,True,True,False,False,False,False,False
"If He works a song, then everyone is happy.",simple_conditional,True,43,9,True,True,False,True,False,False,False
"If the test is hard, then They will study more.",simple_conditional,True,47,10,True,True,False,True,False,False,False
"If John studies the report, then everyone is happy.",simple_conditional,True,51,9,True,True,False,True,False,False,False
"If it snows, then the picnic is canceled.",simple_conditional,True,41,8,True,True,False,False,False,False,False
"If it is sunny, then we stay inside.",simple_conditional,True,36,8,True,True,False,False,False,False,False
"If the test is hard, then She will run more.",simple_conditional,True,44,10,True,True,False,True,False,False,False
"If the test is hard, then She will play more.",simple_conditional,True,45,10,True,True,False,True,False,False,False
"If the test is hard, then Mary will play more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If the test is hard, then The student will read more.",simple_conditional,True,53,11,True,True,False,True,False,False,False
"If She studies deeply, then everyone is happy.",simple_conditional,True,46,8,True,True,False,False,False,False,False
"If the test is hard, then He will study more.",simple_conditional,True,45,10,True,True,False,True,False,False,False
"If They studies deeply, then everyone is happy.",simple_conditional,True,47,8,True,True,False,False,False,False,False
"If Mary studies carefully, then everyone is happy.",simple_conditional,True,50,8,True,True,False,False,False,False,False
"If the test is hard, then They will run more.",simple_conditional,True,45,10,True,True,False,True,False,False,False
"If the test is hard, then The student will sing more.",simple_conditional,True,53,11,True,True,False,True,False,False,False
"If the test is hard, then The student will work more.",simple_conditional,True,53,11,True,True,False,True,False,False,False
"If the test is hard, then The team will run more.",simple_conditional,True,49,11,True,True,False,True,False,False,False
"If The student plays deeply, then everyone is happy.",simple_conditional,True,52,9,True,True,False,False,False,False,False
"If it snows, then the picnic is canceled.",simple_conditional,True,41,8,True,True,False,False,False,False,False
"If the test is hard, then They will play more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If it is cloudy, then the picnic is canceled.",simple_conditional,True,45,9,True,True,False,False,False,False,False
"If the test is hard, then She will run more.",simple_conditional,True,44,10,True,True,False,True,False,False,False
"If it rains, then we go to the beach.",simple_conditional,True,37,9,True,True,False,False,False,False,False
"If the test is hard, then The team will read more.",simple_conditional,True,50,11,True,True,False,True,False,False,False
"If it is windy, then we stay inside.",simple_conditional,True,36,8,True,True,False,False,False,False,False
"If Mary reads the game, then everyone is happy.",simple_conditional,True,47,9,True,True,False,False,False,False,False
"If it is sunny, then the game continues.",simple_conditional,True,40,8,True,True,False,False,False,False,False
"If the test is hard, then John will sing more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If John reads carefully, then everyone is happy.",simple_conditional,True,48,8,True,True,False,False,False,False,False
"If He studies quickly, then everyone is happy.",simple_conditional,True,46,8,True,True,False,False,False,False,False
"If it is cloudy, then we stay inside.",simple_conditional,True,37,8,True,True,False,False,False,False,False
"If it snows, then we stay inside.",simple_conditional,True,33,7,True,True,False,False,False,False,False
"If it is windy, then the game continues.",simple_conditional,True,40,8,True,True,False,False,False,False,False
"If it snows, then traffic increases.",simple_conditional,True,36,6,True,True,False,False,False,False,False
"If it is sunny, then we stay inside.",simple_conditional,True,36,8,True,True,False,False,False,False,False
"If it is cloudy, then we go to the beach.",simple_conditional,True,41,10,True,True,False,False,False,False,False
"If The cat runs carefully, then everyone is happy.",simple_conditional,True,50,9,True,True,False,False,False,False,False
"If the test is hard, then Mary will run more.",simple_conditional,True,45,10,True,True,False,True,False,False,False
"If it rains, then we go to the beach.",simple_conditional,True,37,9,True,True,False,False,False,False,False
"If it is windy, then the picnic is canceled.",simple_conditional,True,44,9,True,True,False,False,False,False,False
"If the test is hard, then John will sing more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If the test is hard, then He will read more.",simple_conditional,True,44,10,True,True,False,True,False,False,False
"If The cat studies a song, then everyone is happy.",simple_conditional,True,50,10,True,True,False,False,False,False,False
"If John writes deeply, then everyone is happy.",simple_conditional,True,46,8,True,True,False,False,False,False,False
"If the test is hard, then John will play more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If John reads a song, then everyone is happy.",simple_conditional,True,45,9,True,True,False,False,False,False,False
"If the test is hard, then The student will study more.",simple_conditional,True,54,11,True,True,False,True,False,False,False
"If it rains, then school closes.",simple_conditional,True,32,6,True,True,False,False,False,False,False
"If He plays the game, then everyone is happy.",simple_conditional,True,45,9,True,True,False,False,False,False,False
"If the test is hard, then John will read more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If The team thinks carefully, then everyone is happy.",simple_conditional,True,53,9,True,True,False,False,False,False,False
"If The cat studies hard, then everyone is happy.",simple_conditional,True,48,9,True,True,False,False,False,False,False
"If it is cloudy, then we go to the beach.",simple_conditional,True,41,10,True,True,False,False,False,False,False
"If the test is hard, then The cat will work more.",simple_conditional,True,49,11,True,True,False,True,False,False,False
"If the test is hard, then He will read more.",simple_conditional,True,44,10,True,True,False,True,False,False,False
"If Mary plays the game, then everyone is happy.",simple_conditional,True,47,9,True,True,False,False,False,False,False
"If He sings deeply, then everyone is happy.",simple_conditional,True,43,8,True,True,False,False,False,False,False
"If They thinks the game, then everyone is happy.",simple_conditional,True,48,9,True,True,False,False,False,False,False
"If the test is hard, then She will work more.",simple_conditional,True,45,10,True,True,False,True,False,False,False
"If it is windy, then the picnic is canceled.",simple_conditional,True,44,9,True,True,False,False,False,False,False
"If it is sunny, then we go to the beach.",simple_conditional,True,40,10,True,True,False,False,False,False,False
"If the test is hard, then He will sing more.",simple_conditional,True,44,10,True,True,False,True,False,False,False
"If the test is hard, then They will play more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If it rains, then the game continues.",simple_conditional,True,37,7,True,True,False,False,False,False,False
"If it rains, then we stay inside.",simple_conditional,True,33,7,True,True,False,False,False,False,False
"If She writes a song, then everyone is happy.",simple_conditional,True,45,9,True,True,False,False,False,False,False
"If it snows, then the game continues.",simple_conditional,True,37,7,True,True,False,False,False,False,False
"If He sings the book, then everyone is happy.",simple_conditional,True,45,9,True,True,False,False,False,False,False
"If the test is hard, then He will run more.",simple_conditional,True,43,10,True,True,False,True,False,False,False
"If the test is hard, then They will read more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If it is sunny, then we go to the beach.",simple_conditional,True,40,10,True,True,False,False,False,False,False
"If the test is hard, then He will read more.",simple_conditional,True,44,10,True,True,False,True,False,False,False
"If it snows, then we go to the beach.",simple_conditional,True,37,9,True,True,False,False,False,False,False
"If it snows, then the picnic is canceled.",simple_conditional,True,41,8,True,True,False,False,False,False,False
"If the test is hard, then The cat will study more.",simple_conditional,True,50,11,True,True,False,True,False,False,False
"If it is windy, then the picnic is canceled.",simple_conditional,True,44,9,True,True,False,False,False,False,False
"If the test is hard, then She will read more.",simple_conditional,True,45,10,True,True,False,True,False,False,False
"If it rains, then we go to the beach.",simple_conditional,True,37,9,True,True,False,False,False,False,False
"If the test is hard, then The student will work more.",simple_conditional,True,53,11,True,True,False,True,False,False,False
"If the test is hard, then John will run more.",simple_conditional,True,45,10,True,True,False,True,False,False,False
"If the test is hard, then The student will study more.",simple_conditional,True,54,11,True,True,False,True,False,False,False
"If John works the report, then everyone is happy.",simple_conditional,True,49,9,True,True,False,True,False,False,False
"If the test is hard, then He will work more.",simple_conditional,True,44,10,True,True,False,True,False,False,False
"If it is windy, then we stay inside.",simple_conditional,True,36,8,True,True,False,False,False,False,False
"If it is sunny, then school closes.",simple_conditional,True,35,7,True,True,False,False,False,False,False
"If She studies hard, then everyone is happy.",simple_conditional,True,44,8,True,True,False,False,False,False,False
"If it rains, then the picnic is canceled.",simple_conditional,True,41,8,True,True,False,False,False,False,False
"If They studies quickly, then everyone is happy.",simple_conditional,True,48,8,True,True,False,False,False,False,False
"If Mary runs the book, then everyone is happy.",simple_conditional,True,46,9,True,True,False,False,False,False,False
"If The team writes deeply, then everyone is happy.",simple_conditional,True,50,9,True,True,False,False,False,False,False
"If John writes carefully, then everyone is happy.",simple_conditional,True,49,8,True,True,False,False,False,False,False
"If the test is hard, then He will work more.",simple_conditional,True,44,10,True,True,False,True,False,False,False
"If The cat studies quickly, then everyone is happy.",simple_conditional,True,51,9,True,True,False,False,False,False,False
"If it snows, then the game continues.",simple_conditional,True,37,7,True,True,False,False,False,False,False
"If it is cloudy, then we go to the beach.",simple_conditional,True,41,10,True,True,False,False,False,False,False
"If The cat thinks a song, then everyone is happy.",simple_conditional,True,49,10,True,True,False,False,False,False,False
"If the test is hard, then The team will read more.",simple_conditional,True,50,11,True,True,False,True,False,False,False
"If They studies hard, then everyone is happy.",simple_conditional,True,45,8,True,True,False,False,False,False,False
"If The cat runs a song, then everyone is happy.",simple_conditional,True,47,10,True,True,False,False,False,False,False
"If The team works the game, then everyone is happy.",simple_conditional,True,51,10,True,True,False,True,False,False,False
"If John runs deeply, then everyone is happy.",simple_conditional,True,44,8,True,True,False,False,False,False,False
"If the test is hard, then They will play more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If The team writes carefully, then everyone is happy.",simple_conditional,True,53,9,True,True,False,False,False,False,False
"If The cat studies carefully, then everyone is happy.",simple_conditional,True,53,9,True,True,False,False,False,False,False
"If John plays a song, then everyone is happy.",simple_conditional,True,45,9,True,True,False,False,False,False,False
"If The student plays the book, then everyone is happy.",simple_conditional,True,54,10,True,True,False,False,False,False,False
"If it is cloudy, then we stay inside.",simple_conditional,True,37,8,True,True,False,False,False,False,False
"If The team reads the game, then everyone is happy.",simple_conditional,True,51,10,True,True,False,False,False,False,False
"If the test is hard, then The cat will run more.",simple_conditional,True,48,11,True,True,False,True,False,False,False
"If The student sings the game, then everyone is happy.",simple_conditional,True,54,10,True,True,False,False,False,False,False
"If it is sunny, then school closes.",simple_conditional,True,35,7,True,True,False,False,False,False,False
"If it rains, then traffic increases.",simple_conditional,True,36,6,True,True,False,False,False,False,False
"If it is windy, then school closes.",simple_conditional,True,35,7,True,True,False,False,False,False,False
"If John sings the game, then everyone is happy.",simple_conditional,True,47,9,True,True,False,False,False,False,False
"If the test is hard, then The team will sing more.",simple_conditional,True,50,11,True,True,False,True,False,False,False
"If He thinks the book, then everyone is happy.",simple_conditional,True,46,9,True,True,False,False,False,False,False
"If it snows, then school closes.",simple_conditional,True,32,6,True,True,False,False,False,False,False
"If the test is hard, then Mary will read more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If the test is hard, then They will run more.",simple_conditional,True,45,10,True,True,False,True,False,False,False
"If it is sunny, then traffic increases.",simple_conditional,True,39,7,True,True,False,False,False,False,False
"If the test is hard, then Mary will run more.",simple_conditional,True,45,10,True,True,False,True,False,False,False
"If it is windy, then we stay inside.",simple_conditional,True,36,8,True,True,False,False,False,False,False
"If it is windy, then we stay inside.",simple_conditional,True,36,8,True,True,False,False,False,False,False
"If it snows, then we stay inside.",simple_conditional,True,33,7,True,True,False,False,False,False,False
"If She reads the book, then everyone is happy.",simple_conditional,True,46,9,True,True,False,False,False,False,False
"If it snows, then we go to the beach.",simple_conditional,True,37,9,True,True,False,False,False,False,False
"If it is sunny, then the picnic is canceled.",simple_conditional,True,44,9,True,True,False,False,False,False,False
"If the test is hard, then She will run more.",simple_conditional,True,44,10,True,True,False,True,False,False,False
"If it rains, then the picnic is canceled.",simple_conditional,True,41,8,True,True,False,False,False,False,False
"If the test is hard, then The cat will play more.",simple_conditional,True,49,11,True,True,False,True,False,False,False
"If The team runs hard, then everyone is happy.",simple_conditional,True,46,9,True,True,False,False,False,False,False
"If it is cloudy, then traffic increases.",simple_conditional,True,40,7,True,True,False,False,False,False,False
"If it is cloudy, then we stay inside.",simple_conditional,True,37,8,True,True,False,False,False,False,False
"If the test is hard, then They will read more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If The team reads deeply, then everyone is happy.",simple_conditional,True,49,9,True,True,False,False,False,False,False
"If She reads the game, then everyone is happy.",simple_conditional,True,46,9,True,True,False,False,False,False,False
"If The student runs the game, then everyone is happy.",simple_conditional,True,53,10,True,True,False,False,False,False,False
"If the test is hard, then Mary will study more.",simple_conditional,True,47,10,True,True,False,True,False,False,False
"If the test is hard, then The cat will sing more.",simple_conditional,True,49,11,True,True,False,True,False,False,False
"If The student writes deeply, then everyone is happy.",simple_conditional,True,53,9,True,True,False,False,False,False,False
"If it rains, then we stay inside.",simple_conditional,True,33,7,True,True,False,False,False,False,False
"If The team reads a song, then everyone is happy.",simple_conditional,True,49,10,True,True,False,False,False,False,False
"If Mary writes the report, then everyone is happy.",simple_conditional,True,50,9,True,True,False,True,False,False,False
"If the test is hard, then The student will sing more.",simple_conditional,True,53,11,True,True,False,True,False,False,False
"If it snows, then we stay inside.",simple_conditional,True,33,7,True,True,False,False,False,False,False
"If The cat writes hard, then everyone is happy.",simple_conditional,True,47,9,True,True,False,False,False,False,False
"If the test is hard, then John will work more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If the test is hard, then The cat will read more.",simple_conditional,True,49,11,True,True,False,True,False,False,False
"If the test is hard, then The team will sing more.",simple_conditional,True,50,11,True,True,False,True,False,False,False
"If the test is hard, then The team will sing more.",simple_conditional,True,50,11,True,True,False,True,False,False,False
"If the test is hard, then They will study more.",simple_conditional,True,47,10,True,True,False,True,False,False,False
"If John studies the game, then everyone is happy.",simple_conditional,True,49,9,True,True,False,False,False,False,False
"If the test is hard, then She will study more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If She thinks the report, then everyone is happy.",simple_conditional,True,49,9,True,True,False,True,False,False,False
"If it is sunny, then school closes.",simple_conditional,True,35,7,True,True,False,False,False,False,False
"If the test is hard, then They will run more.",simple_conditional,True,45,10,True,True,False,True,False,False,False
"If it is cloudy, then school closes.",simple_conditional,True,36,7,True,True,False,False,False,False,False
"If the test is hard, then Mary will play more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If it is sunny, then we go to the beach.",simple_conditional,True,40,10,True,True,False,False,False,False,False
"If it is sunny, then school closes.",simple_conditional,True,35,7,True,True,False,False,False,False,False
"If the test is hard, then John will study more.",simple_conditional,True,47,10,True,True,False,True,False,False,False
"If it is sunny, then we stay inside.",simple_conditional,True,36,8,True,True,False,False,False,False,False
"If the test is hard, then The student will work more.",simple_conditional,True,53,11,True,True,False,True,False,False,False
"If the test is hard, then The team will run more.",simple_conditional,True,49,11,True,True,False,True,False,False,False
"If it rains, then traffic increases.",simple_conditional,True,36,6,True,True,False,False,False,False,False
"If The student studies the book, then everyone is happy.",simple_conditional,True,56,10,True,True,False,False,False,False,False
"If He studies deeply, then everyone is happy.",simple_conditional,True,45,8,True,True,False,False,False,False,False
"If it is cloudy, then we stay inside.",simple_conditional,True,37,8,True,True,False,False,False,False,False
"If the test is hard, then The student will read more.",simple_conditional,True,53,11,True,True,False,True,False,False,False
"If the test is hard, then He will run more.",simple_conditional,True,43,10,True,True,False,True,False,False,False
"If it is windy, then the game continues.",simple_conditional,True,40,8,True,True,False,False,False,False,False
"If it is sunny, then the game continues.",simple_conditional,True,40,8,True,True,False,False,False,False,False
"If it is windy, then the picnic is canceled.",simple_conditional,True,44,9,True,True,False,False,False,False,False
"If The team runs quickly, then everyone is happy.",simple_conditional,True,49,9,True,True,False,False,False,False,False
"If it is cloudy, then traffic increases.",simple_conditional,True,40,7,True,True,False,False,False,False,False
"If it is sunny, then school closes.",simple_conditional,True,35,7,True,True,False,False,False,False,False
"If it is windy, then we stay inside.",simple_conditional,True,36,8,True,True,False,False,False,False,False
"If the test is hard, then The team will play more.",simple_conditional,True,50,11,True,True,False,True,False,False,False
"If the test is hard, then Mary will sing more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
